======================================================================
  QuantHive — Multi-Agent PPO Training
  Episodes: 8000  |  Curriculum: 4 phases
  Device: cuda  |  Seed: 42
======================================================================
/kaggle/working/QuantHive/training/ppo_trainer.py:171: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  mb_cont = torch.FloatTensor(
Ep  1610 [hard        ] [portfolio_manager_0 ] | DD=47.63% | Ret=-47.62% | Viol=62.20% | Fails=578 | 3.3s
Ep  1620 [hard        ] [portfolio_manager_0 ] | DD=43.11% | Ret=-43.07% | Viol=68.40% | Fails=515 | 3.3s
Ep  1630 [hard        ] [portfolio_manager_0 ] | DD=42.15% | Ret=-41.12% | Viol=69.00% | Fails=592 | 3.3s
Ep  1640 [hard        ] [portfolio_manager_0 ] | DD=36.34% | Ret=-36.22% | Viol=52.20% | Fails=563 | 3.2s
Ep  1650 [hard        ] [trader_0            ] | DD=1.16% | Ret=+1.37% | Viol=85.60% | Fails=35 | 3.3s
Ep  1660 [hard        ] [trader_0            ] | DD=34.28% | Ret=-33.46% | Viol=60.60% | Fails=580 | 3.4s
Ep  1670 [hard        ] [trader_0            ] | DD=57.91% | Ret=-57.89% | Viol=49.20% | Fails=550 | 3.3s
Ep  1680 [hard        ] [trader_0            ] | DD=56.73% | Ret=-56.73% | Viol=38.20% | Fails=723 | 3.6s
Ep  1690 [hard        ] [trader_0            ] | DD=40.88% | Ret=-40.27% | Viol=78.20% | Fails=256 | 3.3s
Ep  1700 [hard        ] [risk_manager_0      ] | DD=35.04% | Ret=-35.02% | Viol=78.00% | Fails=432 | 3.3s
Ep  1710 [hard        ] [risk_manager_0      ] | DD=30.09% | Ret=-29.80% | Viol=74.60% | Fails=434 | 3.3s
Ep  1720 [hard        ] [risk_manager_0      ] | DD=53.34% | Ret=-53.15% | Viol=62.00% | Fails=466 | 3.1s
Ep  1730 [hard        ] [risk_manager_0      ] | DD=42.32% | Ret=-41.81% | Viol=80.20% | Fails=504 | 3.1s
Ep  1740 [hard        ] [risk_manager_0      ] | DD=35.60% | Ret=-35.45% | Viol=79.80% | Fails=363 | 3.3s
Ep  1750 [hard        ] [portfolio_manager_0 ] | DD=0.75% | Ret=-0.17% | Viol=94.20% | Fails=262 | 3.6s
Ep  1760 [hard        ] [portfolio_manager_0 ] | DD=1.06% | Ret=-0.74% | Viol=95.60% | Fails=151 | 3.1s
Ep  1770 [hard        ] [portfolio_manager_0 ] | DD=32.92% | Ret=-32.11% | Viol=83.60% | Fails=417 | 3.2s
Ep  1780 [hard        ] [portfolio_manager_0 ] | DD=57.57% | Ret=-57.32% | Viol=76.40% | Fails=619 | 3.2s
Ep  1790 [hard        ] [portfolio_manager_0 ] | DD=23.04% | Ret=-21.52% | Viol=85.00% | Fails=75 | 3.4s
Ep  1800 [hard        ] [trader_0            ] | DD=32.44% | Ret=-32.44% | Viol=62.00% | Fails=85 | 3.3s
Ep  1810 [hard        ] [trader_0            ] | DD=72.96% | Ret=-72.96% | Viol=60.60% | Fails=582 | 3.2s
Ep  1820 [hard        ] [trader_0            ] | DD=31.01% | Ret=-30.34% | Viol=79.40% | Fails=74 | 3.1s
Ep  1830 [hard        ] [trader_0            ] | DD=33.04% | Ret=-32.81% | Viol=85.20% | Fails=341 | 3.1s
Ep  1840 [hard        ] [trader_0            ] | DD=40.25% | Ret=-40.25% | Viol=77.60% | Fails=357 | 3.3s
Ep  1850 [hard        ] [risk_manager_0      ] | DD=20.27% | Ret=-20.25% | Viol=85.00% | Fails=71 | 3.3s
Ep  1860 [hard        ] [risk_manager_0      ] | DD=40.47% | Ret=-39.08% | Viol=71.80% | Fails=300 | 3.1s
Ep  1870 [hard        ] [risk_manager_0      ] | DD=23.40% | Ret=-23.40% | Viol=88.20% | Fails=68 | 3.1s
Ep  1880 [hard        ] [risk_manager_0      ] | DD=25.29% | Ret=-25.23% | Viol=92.80% | Fails=185 | 3.2s
Ep  1890 [hard        ] [risk_manager_0      ] | DD=17.22% | Ret=-17.22% | Viol=91.20% | Fails=198 | 3.1s
Ep  1900 [hard        ] [portfolio_manager_0 ] | DD=10.95% | Ret=-9.91% | Viol=90.00% | Fails=47 | 3.6s
Ep  1910 [hard        ] [portfolio_manager_0 ] | DD=32.71% | Ret=-31.61% | Viol=91.60% | Fails=245 | 3.8s
Ep  1920 [hard        ] [portfolio_manager_0 ] | DD=28.42% | Ret=-28.17% | Viol=88.60% | Fails=123 | 3.5s
Ep  1930 [hard        ] [portfolio_manager_0 ] | DD=31.76% | Ret=-31.67% | Viol=79.60% | Fails=147 | 3.3s
Ep  1940 [hard        ] [portfolio_manager_0 ] | DD=26.96% | Ret=-26.29% | Viol=74.60% | Fails=96 | 3.3s
Ep  1950 [hard        ] [trader_0            ] | DD=32.03% | Ret=-31.85% | Viol=88.20% | Fails=308 | 3.4s
Ep  1960 [hard        ] [trader_0            ] | DD=30.00% | Ret=-29.26% | Viol=86.80% | Fails=116 | 3.2s
Ep  1970 [hard        ] [trader_0            ] | DD=29.37% | Ret=-29.01% | Viol=79.40% | Fails=97 | 3.3s
Ep  1980 [hard        ] [trader_0            ] | DD=23.21% | Ret=-22.18% | Viol=76.20% | Fails=69 | 3.5s
Ep  1990 [hard        ] [trader_0            ] | DD=20.36% | Ret=-20.26% | Viol=90.40% | Fails=100 | 3.3s
